Actual,Predicted
80.0,80.0
199.99,199.99000000000015
80.0,80.0
64.97,64.97000000000004
65.0,65.0
275.0,275.0
175.0,175.0
80.97,80.97000000000008
69.0,69.0
75.0,75.0
100.0,100.0
100.0,100.0
45.0,45.0
135.0,135.0
32.0,32.0
147.99,147.9899999999999
61.97,61.97000000000003
42.0,42.0
105.0,105.0
170.0,170.0
110.0,110.0
120.0,120.0
128.97,128.96999999999983
210.0,210.0
170.0,170.0
225.0,225.0
130.0,130.0
80.0,80.0
150.0,150.0
175.0,175.0
55.97,55.97
37.0,37.0
175.0,175.0
120.0,120.0
180.0,180.0
105.0,105.0
180.0,180.0
235.0,235.0
35.0,35.0
24.0,24.0
150.0,150.0
85.0,85.0
37.97,37.96999999999989
32.97,32.96999999999994
55.0,55.0
85.0,85.0
37.97,37.969999999999885
58.97,58.9700000000001
130.0,130.0
115.0,115.0
160.0,160.0
135.0,135.0
85.0,85.0
47.0,47.0
65.0,65.0
35.0,35.0
40.0,40.0
58.97,58.9700000000001
185.0,185.0
50.0,50.0
100.0,100.0
120.0,120.0
85.0,85.0
35.0,35.0
55.0,55.0
89.97,89.97
48.0,48.0
45.0,45.0
85.0,85.0
180.97,181.17019999999985
90.0,90.0
31.97,31.969999999999896
147.99,147.9899999999999
75.0,75.0
35.0,35.0
35.0,35.0
180.0,180.0
135.0,135.0
180.0,180.0
65.0,65.0
48.97,48.969999999999935
87.97,87.97000000000004
82.0,82.0
150.0,150.0
200.0,200.0
125.0,125.0
319.99,320.39000000000067
80.0,80.0
40.0,40.0
120.0,120.0
130.0,130.0
80.0,80.0
180.0,180.0
160.0,160.0
135.0,135.0
68.0,68.0
137.97,137.96999999999977
190.0,190.0
210.0,210.0
32.0,32.0
75.0,75.0
80.0,80.0
125.0,125.0
75.0,75.0
140.0,140.0
55.0,55.0
80.0,80.0
210.0,210.0
210.0,210.0
85.0,85.0
95.0,95.0
140.0,140.0
135.0,135.0
25.0,25.0
85.0,85.0
150.0,150.0
190.0,190.0
170.0,170.0
58.97,58.9700000000001
420.0,420.0
170.0,170.0
165.0,165.0
60.0,60.0
60.0,60.0
125.0,125.0
52.97,52.96999999999999
195.0,195.0
110.0,110.0
225.0,225.0
165.0,165.0
110.0,110.0
115.0,115.0
82.97,82.97000000000007
42.0,42.0
240.0,240.0
16.97,16.960000000000022
44.97,44.96999999999991
36.97,36.96999999999992
120.0,120.0
70.0,70.0
45.0,45.0
38.0,38.0
70.0,70.0
150.0,150.0
90.0,90.0
77.0,77.0
122.99,122.9899999999998
61.97,61.97000000000003
100.0,100.0
40.0,40.0
80.0,80.0
105.0,105.0
85.0,85.0
55.0,55.0
41.0,41.0
160.0,160.0
182.99,182.99000000000007
58.0,58.0
80.0,80.0
120.0,120.0
175.0,175.0
125.0,125.0
175.0,175.0
105.0,105.0
40.0,40.0
115.0,115.0
75.0,75.0
68.0,68.0
48.0,48.0
160.0,160.0
160.0,160.0
75.0,75.0
42.0,42.0
115.0,115.0
70.0,70.0
61.97,61.97000000000003
105.0,105.0
295.0,295.0
55.0,55.0
105.0,105.0
55.97,55.97
21.97,21.96999999999999
75.0,75.0
170.0,170.0
235.0,235.0
90.0,90.0
130.0,130.0
94.97,94.96999999999998
37.0,37.0
70.0,70.0
50.0,50.0
48.97,48.96999999999994
150.0,150.0
105.0,105.0
32.0,32.0
100.0,100.0
90.0,90.0
110.0,110.0
28.97,28.969999999999956
285.0,285.0
85.0,85.0
150.0,150.0
55.0,55.0
74.97,74.97000000000007
175.0,175.0
45.0,45.0
45.0,45.0
68.0,68.0
39.97,39.959999999999916
200.0,200.0
95.0,95.0
90.0,90.0
260.0,260.0
55.0,55.0
92.97,92.97
41.97,41.96999999999989
44.0,44.0
85.0,85.0
85.0,85.0
65.0,65.0
95.0,95.0
42.0,42.0
58.0,58.0
100.0,100.0
150.0,150.0
210.0,210.0
35.0,35.0
190.0,190.0
45.0,45.0
89.97,89.97
235.0,235.0
45.0,45.0
130.0,130.0
100.0,100.0
160.0,160.0
175.0,175.0
85.0,85.0
85.0,85.0
80.0,80.0
30.0,30.0
80.97,80.97000000000008
30.0,30.0
221.97,221.9700000000001
140.0,140.0
40.0,40.0
200.0,200.0
150.0,150.0
170.0,170.0
80.0,80.0
135.0,135.0
235.0,235.0
225.0,225.0
38.0,38.0
100.0,100.0
72.97,72.97000000000004
155.0,155.0
37.97,37.96999999999989
110.0,110.0
65.0,65.0
100.0,100.0
48.0,48.0
60.0,60.0
35.0,35.0
85.0,85.0
120.0,120.0
85.97,85.97000000000007
100.0,100.0
160.0,160.0
145.0,145.0
175.0,175.0
180.0,180.0
125.0,125.0
80.0,80.0
82.97,82.97000000000006
72.0,72.0
75.0,75.0
50.0,50.0
38.97,38.969999999999914
100.0,100.0
45.0,45.0
85.0,85.0
130.0,130.0
122.99,122.9899999999998
120.0,120.0
130.0,130.0
62.97,62.970000000000006
85.0,85.0
50.0,50.0
160.97,160.96999999999971
122.99,122.9899999999998
120.99,120.99000000000038
115.0,115.0
140.0,140.0
42.0,42.0
125.0,125.0
41.0,41.0
26.97,26.969999999999967
164.99,164.98999999999992
35.0,35.0
175.0,175.0
100.0,100.0
60.0,60.0
165.0,165.0
100.0,100.0
385.0,385.0
32.0,32.0
40.0,40.0
120.0,120.0
240.0,240.0
58.97,58.97000000000002
225.0,225.0
180.0,180.0
92.97,92.97
80.0,80.0
64.0,64.0
48.97,48.96999999999994
95.0,95.0
130.0,130.0
64.0,64.0
70.0,70.0
85.97,85.97000000000007
80.0,80.0
51.97,51.969999999999985
90.0,90.0
65.0,65.0
135.0,135.0
36.97,36.96999999999992
48.0,48.0
80.0,80.0
68.0,68.0
165.0,165.0
44.0,44.0
48.0,48.0
80.0,80.0
95.0,95.0
140.0,140.0
90.0,90.0
125.0,125.0
125.0,125.0
125.0,125.0
120.0,120.0
115.0,115.0
95.0,95.0
