Feature,Importance
availability_level,0.9071696949305563
nike_size,0.00792236091604447
localized_size,0.0077495556732592305
stock_keeping_unit_id,0.007319037714888233
size_label,0.007240308833112248
subcategory,0.006802240876409883
style_color,0.0050498296599232615
image_url,0.00429524250008798
model_number,0.004018136858464987
discount_pct,0.004000643483012566
canonical_url,0.0035634550469715565
product_url,0.0035457473750486065
product_name,0.0033324314363480157
size_conversion_id,0.003324393679111056
color_name,0.0031066871932861435
sku,0.0030495985370693384
catalog_sku_id,0.002988728248158889
sale_price_local,0.0029268201236374346
product_id,0.0029064812803871938
sport_tags,0.002881219562314727
price_local,0.0028263679782811035
gender_segment,0.0015712454067383385
category,0.0014459882323567608
brand_name,0.00035751805364034767
country_code,0.0003141250700577085
currency,0.0002921413308337009
snapshot_date,0.0
available_size_count,0.0
employee_price,0.0
size_count,0.0
gtin,0.0
record_source,0.0
